Source_IP,Destination_IP,Protocol,Packet_Size,Flow_Duration,Bytes_Per_Second,Login_Attempts,API_Requests,Unauthorized_Access,Malware_Attack,DDoS_Attack,Abnormal_Data_Transfer_MB,Encrypted_Traffic_Ratio,Failed_Auth_Attempts,TCP_Flags,Suspicious_IP_Flag,Port_Scan_Activity,Suspicious_DNS_Request,Anomalous_Behavior_Score,Object_Type
192.168.1.178,10.0.0.251,ICMP,1326,1146,19840.75,9,86,0,0,0,6146,0.15,3,PSH,0,0,0,0.9,Normal
192.168.1.92,10.0.0.250,TCP,787,632,18344.12,0,179,0,0,0,2480,0.46,16,RST,0,0,0,0.46,Normal
192.168.1.62,10.0.0.26,ICMP,1168,7255,15692.23,19,153,0,0,0,4951,0.75,21,URG,0,0,0,0.33,Normal
192.168.1.84,10.0.0.232,TCP,178,19290,3993.55,6,16,0,0,0,5721,0.51,4,SYN,0,0,0,0.07,Normal
192.168.1.62,10.0.0.46,UDP,339,15305,13986.87,31,153,1,0,0,2216,0.53,9,RST,0,0,0,0.68,Unauthorized Access
192.168.1.111,10.0.0.118,ICMP,143,4978,11447.19,20,15,0,0,0,8759,0.38,0,PSH,0,0,0,0.87,Normal
192.168.1.251,10.0.0.252,UDP,242,5433,2715.58,25,101,0,0,0,150,0.6,7,ACK,0,1,0,0.5,Normal
192.168.1.127,10.0.0.46,TCP,1396,1425,15895.68,44,79,0,0,0,5423,0.82,6,SYN,0,0,0,0.95,Normal
192.168.1.7,10.0.0.203,TCP,624,6807,1738.26,6,185,0,0,0,6438,0.91,6,ACK,0,0,0,0.42,Normal
192.168.1.203,10.0.0.14,UDP,572,18456,9637.38,37,15,0,0,0,6186,0.99,9,PSH,0,0,0,0.4,Normal
192.168.1.84,10.0.0.85,ICMP,323,19081,8537.0,44,184,0,0,0,3817,0.75,14,SYN,0,0,0,0.07,Normal
192.168.1.208,10.0.0.63,UDP,355,4272,16125.89,39,82,0,1,0,7269,0.11,5,SYN,0,0,0,0.46,Malware Attack
192.168.1.132,10.0.0.72,UDP,948,1698,8557.07,47,37,0,0,0,3539,0.15,13,URG,0,0,0,0.31,Normal
192.168.1.134,10.0.0.3,ICMP,354,4168,13889.27,40,128,1,0,1,5852,0.5,20,RST,0,0,0,0.41,Unauthorized Access
192.168.1.58,10.0.0.28,TCP,605,8404,9570.43,44,65,1,1,0,6815,0.68,19,PSH,0,1,0,0.07,Unauthorized Access
192.168.1.22,10.0.0.125,UDP,827,15920,11644.6,26,33,1,0,1,9863,0.13,21,PSH,0,0,0,0.48,Unauthorized Access
192.168.1.154,10.0.0.157,UDP,1150,1134,4828.41,33,131,0,0,0,4695,0.4,12,SYN,0,0,0,0.9,Normal
192.168.1.127,10.0.0.87,TCP,657,18844,4057.04,11,49,0,0,0,6790,0.58,5,PSH,0,1,0,0.3,Normal
192.168.1.3,10.0.0.146,UDP,1492,13462,14201.17,11,150,0,0,0,7697,0.2,9,FIN,0,0,0,0.7,Normal
192.168.1.127,10.0.0.163,TCP,1011,6500,2455.38,14,182,0,0,0,8421,0.7,21,URG,1,0,0,0.52,Normal
192.168.1.41,10.0.0.77,ICMP,543,8988,3527.92,19,149,0,0,0,4590,0.34,17,PSH,0,0,0,0.01,Normal
192.168.1.188,10.0.0.76,TCP,1412,9177,18819.52,9,110,0,0,0,4792,0.27,13,SYN,0,0,0,0.17,Normal
192.168.1.106,10.0.0.175,TCP,444,4939,5074.05,45,105,0,0,0,9398,0.07,2,SYN,0,1,0,0.06,Normal
192.168.1.14,10.0.0.114,UDP,373,4298,6472.68,25,27,0,0,0,1483,0.68,22,RST,0,0,0,0.06,Normal
192.168.1.203,10.0.0.133,TCP,1430,19340,12667.55,16,132,0,0,0,9265,0.22,6,SYN,0,0,0,0.08,Normal
192.168.1.210,10.0.0.231,TCP,1143,10401,8812.68,9,115,0,0,0,6679,0.12,2,ACK,0,0,0,0.12,Normal
192.168.1.246,10.0.0.75,UDP,910,7925,11184.42,10,129,1,0,0,4103,0.3,24,SYN,0,0,0,0.16,Unauthorized Access
192.168.1.12,10.0.0.250,TCP,488,12683,2900.41,16,4,0,0,0,7048,0.73,2,PSH,0,0,0,0.5,Normal
192.168.1.87,10.0.0.59,UDP,1229,14273,13451.43,10,183,0,0,0,8200,0.28,9,SYN,0,0,1,0.7,Normal
192.168.1.12,10.0.0.203,ICMP,724,19430,3140.1,14,24,0,0,0,3125,0.03,24,SYN,0,0,0,0.24,Normal
192.168.1.141,10.0.0.59,TCP,1463,4085,14957.03,3,110,0,1,1,4210,0.61,16,ACK,0,0,0,0.41,Malware Attack
192.168.1.25,10.0.0.239,ICMP,289,13399,10477.11,24,157,0,0,0,1597,0.58,18,URG,0,0,0,0.86,Normal
192.168.1.45,10.0.0.234,TCP,88,12469,16325.7,35,22,0,1,0,7311,0.87,12,FIN,0,1,0,0.53,Malware Attack
192.168.1.243,10.0.0.47,TCP,1452,3677,3461.93,46,151,0,0,1,1121,0.17,23,URG,0,0,0,0.95,DDoS Attack
192.168.1.122,10.0.0.95,ICMP,158,11141,7557.02,30,78,1,0,0,9340,0.95,20,ACK,0,0,0,0.0,Unauthorized Access
192.168.1.147,10.0.0.223,ICMP,571,13752,16938.17,45,8,0,0,0,1518,0.05,14,PSH,0,0,0,0.15,Normal
192.168.1.55,10.0.0.141,UDP,628,8806,15976.26,28,58,0,0,0,339,0.57,10,URG,0,0,0,0.64,Normal
192.168.1.238,10.0.0.78,UDP,1263,18930,19315.42,30,80,0,0,0,689,0.78,11,URG,0,1,0,0.39,Normal
192.168.1.100,10.0.0.113,ICMP,707,675,4446.99,8,88,0,0,0,2428,0.76,15,URG,0,0,0,0.15,Normal
192.168.1.173,10.0.0.109,TCP,1495,19311,10785.17,47,59,0,0,0,9371,0.66,0,ACK,0,0,0,0.37,Normal
192.168.1.136,10.0.0.106,UDP,553,1242,367.52,0,90,0,0,0,2587,0.96,2,FIN,0,0,0,0.22,Normal
192.168.1.221,10.0.0.89,TCP,522,11989,19305.04,2,7,0,0,0,4308,0.43,19,SYN,0,0,0,0.09,Normal
192.168.1.119,10.0.0.33,UDP,964,8553,3510.79,3,25,0,0,0,5322,0.66,19,RST,0,0,0,0.07,Normal
192.168.1.53,10.0.0.97,UDP,401,9963,18095.11,18,102,0,0,0,1879,0.12,3,RST,1,0,0,0.02,Normal
192.168.1.183,10.0.0.190,UDP,1026,19289,13569.88,40,173,0,0,0,6885,0.36,15,FIN,0,0,0,0.84,Normal
192.168.1.32,10.0.0.79,ICMP,1418,7434,18737.6,21,154,0,1,0,9915,0.12,4,ACK,0,0,0,0.77,Malware Attack
192.168.1.51,10.0.0.16,TCP,1300,6372,4972.1,7,158,0,0,0,3693,0.57,3,URG,0,0,0,0.93,Normal
192.168.1.44,10.0.0.44,ICMP,408,15849,6909.83,24,194,0,0,0,6979,0.88,15,ACK,0,0,0,0.56,Normal
192.168.1.82,10.0.0.186,UDP,639,4548,3296.39,3,124,0,0,0,943,0.36,13,PSH,0,0,0,0.98,Normal
192.168.1.198,10.0.0.120,ICMP,1006,13972,8454.45,44,53,0,0,0,5037,0.7,4,URG,0,0,0,0.26,Normal
192.168.1.146,10.0.0.230,ICMP,409,6654,18950.51,13,167,0,0,0,8867,0.25,9,FIN,0,0,0,0.19,Normal
192.168.1.211,10.0.0.134,ICMP,1335,4360,11427.55,4,108,0,0,1,3931,0.56,19,SYN,0,0,0,0.06,DDoS Attack
192.168.1.150,10.0.0.108,TCP,388,79,8328.36,49,139,1,0,0,5862,0.14,24,FIN,0,0,0,0.2,Unauthorized Access
192.168.1.37,10.0.0.217,ICMP,530,7179,6504.08,49,140,0,0,0,841,0.01,8,PSH,0,0,0,0.16,Normal
192.168.1.96,10.0.0.143,ICMP,154,4094,11699.39,28,128,0,0,0,5161,0.99,15,URG,0,0,0,0.33,Normal
192.168.1.56,10.0.0.4,ICMP,357,13078,14467.12,20,178,0,0,0,7951,0.84,13,URG,0,0,0,0.33,Normal
192.168.1.105,10.0.0.56,ICMP,587,13148,8141.7,14,56,1,0,0,2573,0.63,10,ACK,0,0,0,0.46,Unauthorized Access
192.168.1.59,10.0.0.64,ICMP,913,8330,4625.67,22,168,1,0,0,9075,0.27,18,PSH,0,0,0,0.43,Unauthorized Access
192.168.1.131,10.0.0.196,ICMP,322,1516,11704.24,16,111,0,0,0,5294,0.74,21,ACK,0,0,0,0.86,Normal
192.168.1.156,10.0.0.222,ICMP,1174,12290,7317.6,2,144,0,0,0,5507,0.1,12,PSH,0,1,0,0.72,Normal
192.168.1.202,10.0.0.162,UDP,1245,1658,19886.55,32,177,0,1,0,7871,0.63,8,PSH,0,0,0,0.62,Malware Attack
192.168.1.243,10.0.0.219,ICMP,249,14121,8826.48,49,32,0,0,0,6697,0.8,14,RST,0,0,0,0.9,Normal
192.168.1.35,10.0.0.95,ICMP,407,3177,8695.43,26,82,0,0,0,3062,0.67,5,FIN,0,0,0,0.62,Normal
192.168.1.189,10.0.0.56,TCP,884,18942,16790.95,15,117,1,0,0,4359,0.76,24,SYN,0,0,0,0.5,Unauthorized Access
192.168.1.93,10.0.0.32,UDP,804,1489,5027.87,5,173,0,0,0,3301,0.07,10,FIN,0,0,0,0.67,Normal
192.168.1.182,10.0.0.236,ICMP,632,5533,1329.08,40,71,0,1,0,1147,0.04,15,FIN,0,0,0,0.77,Malware Attack
192.168.1.191,10.0.0.231,TCP,1013,17,17077.84,9,133,0,0,0,625,0.43,14,SYN,0,0,0,0.79,Normal
192.168.1.207,10.0.0.116,ICMP,572,16613,11784.92,28,128,0,0,0,2472,0.79,20,URG,0,0,0,0.98,Normal
192.168.1.97,10.0.0.9,ICMP,79,8926,5210.53,16,172,0,0,0,7631,0.3,8,ACK,0,0,0,0.32,Normal
192.168.1.135,10.0.0.191,ICMP,588,13999,6861.74,38,169,0,0,0,5658,0.74,5,URG,0,0,0,0.7,Normal
192.168.1.76,10.0.0.105,ICMP,263,6927,8518.75,45,97,0,0,0,7957,0.07,17,ACK,0,0,0,0.29,Normal
192.168.1.49,10.0.0.200,ICMP,1271,2059,13611.02,13,85,0,0,0,4943,0.66,5,ACK,0,0,0,0.52,Normal
192.168.1.94,10.0.0.78,TCP,372,3795,9368.96,11,195,0,0,0,2287,0.92,14,SYN,0,0,0,0.47,Normal
192.168.1.213,10.0.0.161,ICMP,1368,7667,7922.43,37,125,0,0,0,2484,0.46,15,URG,0,0,1,0.69,Normal
192.168.1.159,10.0.0.87,TCP,1245,8972,15611.53,28,150,0,0,0,3099,0.06,7,URG,0,0,0,0.31,Normal
192.168.1.186,10.0.0.21,ICMP,1447,17133,1446.25,13,145,0,0,0,8714,0.72,13,URG,0,1,0,0.08,Normal
192.168.1.189,10.0.0.55,TCP,322,10219,13054.21,7,89,0,0,0,5299,0.88,22,FIN,0,0,0,0.33,Normal
192.168.1.24,10.0.0.76,UDP,1244,13652,8983.98,48,105,0,0,0,4435,0.36,10,RST,0,0,0,0.69,Normal
192.168.1.148,10.0.0.185,ICMP,488,16903,6703.72,39,178,0,0,0,3846,0.37,15,FIN,0,0,0,0.19,Normal
192.168.1.37,10.0.0.130,UDP,842,18389,18552.24,39,159,1,0,0,9702,0.33,2,PSH,0,0,0,0.4,Unauthorized Access
192.168.1.4,10.0.0.141,UDP,1108,1024,15560.81,16,141,1,0,0,8148,0.11,15,SYN,0,0,0,0.79,Unauthorized Access
192.168.1.220,10.0.0.126,UDP,702,19495,4392.98,42,51,0,0,0,175,0.31,12,SYN,0,0,0,0.91,Normal
192.168.1.108,10.0.0.251,ICMP,1434,17316,13050.21,38,33,0,0,0,4738,0.42,4,RST,1,0,0,0.61,Normal
192.168.1.126,10.0.0.132,UDP,983,9993,16447.51,22,105,0,0,0,8836,0.42,23,SYN,0,0,1,0.94,Normal
192.168.1.20,10.0.0.84,TCP,1075,5437,19786.9,6,20,1,0,0,6373,0.21,20,URG,0,1,0,0.18,Unauthorized Access
192.168.1.188,10.0.0.178,ICMP,413,8222,13971.52,11,176,0,0,0,7680,0.56,8,URG,0,1,0,0.97,Normal
192.168.1.152,10.0.0.115,UDP,1024,17458,13816.91,15,124,0,0,0,4875,0.54,14,RST,0,0,0,0.73,Normal
192.168.1.50,10.0.0.48,ICMP,1472,13819,12269.71,12,72,0,0,0,9384,0.38,5,FIN,0,0,0,0.14,Normal
192.168.1.177,10.0.0.123,UDP,501,18293,809.65,46,74,0,0,0,7641,0.93,23,PSH,0,0,0,0.83,Normal
192.168.1.179,10.0.0.78,TCP,519,3553,11705.28,18,121,0,0,0,2924,0.97,11,ACK,0,0,0,0.35,Normal
192.168.1.96,10.0.0.30,ICMP,687,17360,16102.9,2,142,0,0,0,806,0.68,4,URG,0,0,0,0.49,Normal
192.168.1.105,10.0.0.29,ICMP,1167,13629,7914.41,42,62,0,0,0,9324,0.29,1,SYN,0,0,0,0.87,Normal
192.168.1.164,10.0.0.136,UDP,706,3584,11743.72,7,179,0,0,0,9687,0.94,1,PSH,0,0,0,0.32,Normal
192.168.1.250,10.0.0.140,TCP,455,50,18530.5,39,127,0,0,0,1002,0.72,4,URG,0,0,0,0.52,Normal
192.168.1.117,10.0.0.41,ICMP,637,6991,3448.96,11,198,0,0,0,3574,0.44,8,FIN,0,0,0,0.9,Normal
192.168.1.98,10.0.0.230,UDP,1446,16656,5616.71,30,98,0,0,0,900,0.88,11,URG,0,0,0,0.73,Normal
192.168.1.228,10.0.0.26,TCP,96,13615,2215.25,34,127,1,0,0,4416,0.15,17,SYN,0,0,0,0.71,Unauthorized Access
192.168.1.66,10.0.0.50,TCP,1223,8155,10009.89,19,81,0,0,0,5481,0.67,8,URG,0,0,0,0.04,Normal
192.168.1.79,10.0.0.2,TCP,984,9234,16794.59,27,149,0,0,0,647,0.28,10,PSH,0,0,0,0.11,Normal
192.168.1.162,10.0.0.55,TCP,473,1829,8709.99,1,92,0,0,0,6803,0.55,0,URG,0,0,0,0.75,Normal
192.168.1.164,10.0.0.104,ICMP,1086,15368,1406.1,26,38,0,0,0,7473,0.29,19,ACK,0,0,0,0.91,Normal
192.168.1.6,10.0.0.184,ICMP,1178,16521,5278.12,2,143,0,0,0,9772,0.58,4,ACK,0,0,0,0.9,Normal
192.168.1.39,10.0.0.14,TCP,476,18972,17795.23,47,36,0,0,0,7835,0.43,8,ACK,0,0,0,0.19,Normal
192.168.1.170,10.0.0.134,UDP,362,12822,11154.91,20,9,0,0,0,1306,0.58,22,URG,0,0,0,0.55,Normal
192.168.1.243,10.0.0.234,UDP,136,16386,18282.28,6,59,0,0,0,1885,0.08,10,PSH,0,0,0,0.33,Normal
192.168.1.115,10.0.0.128,TCP,324,16148,16690.42,32,82,0,0,0,437,0.0,0,URG,0,0,0,0.5,Normal
192.168.1.186,10.0.0.104,TCP,753,19605,8291.69,44,54,0,1,0,8994,0.78,14,PSH,0,0,0,0.39,Malware Attack
192.168.1.246,10.0.0.254,UDP,1399,9095,12674.54,45,145,0,0,0,436,0.28,23,ACK,0,0,0,0.88,Normal
192.168.1.125,10.0.0.95,TCP,1022,2816,13291.86,32,82,0,0,0,9974,0.7,22,FIN,0,0,0,0.58,Normal
192.168.1.12,10.0.0.81,TCP,795,2289,14938.48,35,4,0,0,0,3203,0.04,13,FIN,0,0,0,0.06,Normal
192.168.1.131,10.0.0.217,ICMP,748,5697,6666.0,16,84,0,0,1,9929,0.66,19,FIN,0,0,0,0.87,DDoS Attack
192.168.1.237,10.0.0.61,ICMP,1252,12385,5786.9,5,13,0,0,0,4470,0.72,16,URG,0,0,0,0.34,Normal
192.168.1.18,10.0.0.224,TCP,903,18181,13694.93,20,115,0,0,0,3146,0.71,14,RST,0,0,0,0.49,Normal
192.168.1.40,10.0.0.12,TCP,398,10450,16376.9,37,43,0,0,0,4507,0.85,2,RST,0,0,0,0.03,Normal
192.168.1.21,10.0.0.241,ICMP,795,15757,8290.79,33,8,0,0,0,487,0.86,24,RST,0,0,0,0.21,Normal
192.168.1.143,10.0.0.13,TCP,867,10610,6428.16,48,148,0,0,0,9137,0.2,1,SYN,0,0,0,0.1,Normal
192.168.1.225,10.0.0.147,ICMP,1248,16373,16512.48,47,123,0,1,0,166,0.58,6,URG,0,0,0,0.85,Malware Attack
192.168.1.99,10.0.0.172,ICMP,453,2189,13742.14,11,199,1,0,0,7554,0.02,8,FIN,0,0,0,0.77,Unauthorized Access
192.168.1.26,10.0.0.240,UDP,823,8378,6877.56,11,61,0,0,0,7380,0.09,0,PSH,0,0,0,0.35,Normal
192.168.1.8,10.0.0.89,ICMP,946,3133,10598.02,17,44,0,0,0,2584,0.42,0,ACK,0,0,0,0.35,Normal
192.168.1.100,10.0.0.95,UDP,1035,5675,19217.64,47,179,0,0,0,6956,0.04,23,SYN,0,0,0,0.26,Normal
192.168.1.240,10.0.0.59,UDP,1158,8223,14999.93,5,186,0,0,0,6210,0.35,22,ACK,0,0,0,0.0,Normal
192.168.1.222,10.0.0.37,ICMP,1004,17046,4441.08,12,128,1,0,0,1533,0.64,14,SYN,0,0,0,0.33,Unauthorized Access
192.168.1.87,10.0.0.25,TCP,1179,3400,5907.67,30,117,0,0,0,3216,0.82,0,PSH,0,0,0,0.62,Normal
192.168.1.42,10.0.0.16,ICMP,966,8369,5311.76,24,158,0,0,1,4558,0.44,4,URG,0,0,0,0.57,DDoS Attack
192.168.1.172,10.0.0.249,UDP,1448,9074,16968.5,47,99,0,0,0,8182,0.49,0,SYN,0,0,0,0.9,Normal
192.168.1.14,10.0.0.166,ICMP,1408,1791,12831.97,23,84,0,0,0,3186,0.01,14,ACK,0,0,0,0.2,Normal
192.168.1.78,10.0.0.171,ICMP,1332,7093,18800.55,41,101,0,0,0,8952,0.87,22,RST,0,0,0,0.26,Normal
192.168.1.2,10.0.0.241,UDP,87,17995,1827.77,10,10,0,0,0,2833,0.98,19,URG,0,0,0,0.03,Normal
192.168.1.119,10.0.0.250,ICMP,620,19275,1049.56,32,146,0,0,0,1333,0.45,18,RST,0,0,0,0.85,Normal
192.168.1.37,10.0.0.87,ICMP,764,1873,13527.27,20,124,0,0,0,3856,0.3,7,FIN,0,0,1,0.45,Normal
192.168.1.69,10.0.0.142,UDP,466,731,5339.81,38,25,0,0,0,2431,0.18,11,ACK,0,0,0,0.46,Normal
192.168.1.166,10.0.0.134,TCP,1460,7252,13586.64,23,103,0,0,0,570,0.72,14,URG,0,0,0,0.5,Normal
192.168.1.237,10.0.0.217,UDP,1373,11538,14472.17,48,162,0,0,0,9230,0.41,13,PSH,0,0,0,0.99,Normal
192.168.1.41,10.0.0.23,UDP,504,7863,6096.58,43,44,0,0,0,8372,0.34,6,ACK,0,0,0,0.13,Normal
192.168.1.62,10.0.0.126,ICMP,945,16636,19053.84,19,167,0,0,0,5048,0.59,22,PSH,0,0,0,0.83,Normal
192.168.1.246,10.0.0.60,UDP,1439,6915,15497.07,46,90,0,0,0,4939,0.81,16,ACK,0,0,0,0.09,Normal
192.168.1.60,10.0.0.235,ICMP,989,4648,7353.43,8,108,0,0,1,5065,0.71,22,PSH,0,0,0,0.99,DDoS Attack
192.168.1.125,10.0.0.140,ICMP,1306,4382,8248.25,30,196,0,0,0,7484,0.81,16,SYN,0,0,0,0.53,Normal
192.168.1.111,10.0.0.141,ICMP,548,17847,14320.27,27,171,0,0,0,9910,0.53,22,ACK,0,0,0,0.26,Normal
192.168.1.14,10.0.0.100,UDP,1305,4181,6087.69,37,148,0,0,0,4983,0.58,1,PSH,0,1,0,0.23,Normal
192.168.1.248,10.0.0.103,UDP,1154,14383,5914.55,4,72,0,0,0,2380,0.01,6,PSH,0,0,0,0.82,Normal
192.168.1.231,10.0.0.226,ICMP,94,12615,12501.94,36,2,0,0,0,7489,0.43,5,PSH,0,0,1,0.48,Normal
192.168.1.217,10.0.0.134,TCP,385,15697,2704.54,40,114,0,0,0,1133,0.8,23,FIN,0,0,0,0.11,Normal
192.168.1.84,10.0.0.63,TCP,1337,3511,19866.92,33,155,0,0,0,6673,0.62,11,PSH,0,0,0,0.43,Normal
192.168.1.130,10.0.0.38,UDP,629,1196,5751.87,9,34,0,0,1,353,0.69,13,URG,0,0,0,0.59,DDoS Attack
192.168.1.231,10.0.0.128,ICMP,73,1391,7660.46,31,55,0,0,0,161,0.15,7,URG,0,0,0,0.52,Normal
192.168.1.70,10.0.0.50,ICMP,741,14260,4493.06,36,164,0,0,1,6826,0.91,15,FIN,0,0,0,0.95,DDoS Attack
192.168.1.145,10.0.0.254,UDP,914,12626,12873.49,16,107,0,0,0,2504,0.75,21,ACK,0,0,0,0.55,Normal
192.168.1.123,10.0.0.180,TCP,990,15783,1219.17,35,72,0,0,0,786,0.9,1,SYN,0,0,0,0.41,Normal
192.168.1.89,10.0.0.40,UDP,348,18298,18556.9,35,69,0,1,0,1161,0.29,16,PSH,0,1,0,0.83,Malware Attack
192.168.1.249,10.0.0.8,UDP,216,11868,6086.67,12,104,0,0,0,1229,0.58,24,PSH,0,0,0,0.8,Normal
192.168.1.28,10.0.0.189,ICMP,434,12235,18548.23,19,65,0,0,1,2029,0.8,9,SYN,0,0,0,0.47,DDoS Attack
192.168.1.66,10.0.0.8,UDP,364,11729,5078.25,37,126,0,0,0,1471,0.42,21,URG,0,1,0,0.22,Normal
192.168.1.163,10.0.0.104,TCP,209,1762,10280.63,18,85,0,0,0,6560,0.34,0,PSH,0,0,0,0.14,Normal
192.168.1.229,10.0.0.225,UDP,1139,1964,13906.48,21,172,0,0,0,5217,0.41,12,FIN,0,0,0,0.04,Normal
192.168.1.5,10.0.0.34,ICMP,1491,547,12256.41,15,43,0,0,0,8335,0.64,5,ACK,0,0,0,0.2,Normal
192.168.1.193,10.0.0.236,TCP,765,18784,10254.73,5,74,0,0,0,3788,0.37,0,RST,0,0,0,0.32,Normal
192.168.1.168,10.0.0.207,ICMP,204,15755,15772.77,10,194,0,0,0,7590,0.22,0,RST,0,0,0,0.34,Normal
192.168.1.204,10.0.0.228,UDP,1175,9392,9415.18,9,21,0,0,0,8096,0.51,15,PSH,0,0,0,0.73,Normal
192.168.1.184,10.0.0.188,UDP,147,3946,6670.16,30,189,0,0,0,2784,0.07,18,FIN,0,0,0,0.68,Normal
192.168.1.164,10.0.0.57,UDP,1330,17889,14374.67,17,141,0,0,0,7268,0.9,3,FIN,0,0,0,0.39,Normal
192.168.1.45,10.0.0.227,ICMP,1193,6226,18746.06,31,108,0,0,1,586,0.93,24,SYN,0,0,0,0.11,DDoS Attack
192.168.1.151,10.0.0.174,UDP,1442,3380,12031.69,40,114,0,0,0,4501,0.98,1,ACK,0,0,0,0.24,Normal
192.168.1.47,10.0.0.22,TCP,84,1269,5601.39,41,28,0,0,0,589,0.76,24,SYN,0,0,0,0.68,Normal
192.168.1.31,10.0.0.87,TCP,1093,5836,15258.55,46,158,0,0,1,7334,0.8,6,SYN,0,0,0,0.59,DDoS Attack
192.168.1.139,10.0.0.40,ICMP,1030,3040,15240.88,23,82,1,0,0,2433,0.84,11,FIN,0,0,0,0.67,Unauthorized Access
192.168.1.10,10.0.0.173,ICMP,1308,4705,5344.61,45,106,0,0,1,2058,0.17,14,URG,0,0,0,0.36,DDoS Attack
192.168.1.195,10.0.0.183,ICMP,1174,106,7698.76,15,130,0,0,0,2871,0.21,17,SYN,0,0,0,0.09,Normal
192.168.1.118,10.0.0.179,UDP,516,12775,2827.49,28,58,0,0,1,236,0.82,15,ACK,0,0,0,0.32,DDoS Attack
192.168.1.14,10.0.0.86,TCP,405,13319,1602.55,38,21,0,0,0,6874,0.42,6,FIN,0,1,0,0.09,Normal
192.168.1.80,10.0.0.133,TCP,456,18888,16149.18,24,90,0,0,0,991,0.79,14,URG,0,0,0,0.2,Normal
192.168.1.202,10.0.0.95,TCP,1439,19140,7457.8,39,174,0,0,0,6978,0.14,7,SYN,0,0,0,0.21,Normal
192.168.1.93,10.0.0.13,ICMP,1333,4053,5633.43,24,83,0,0,0,951,0.05,8,ACK,0,0,0,0.85,Normal
192.168.1.10,10.0.0.28,ICMP,1066,13596,5129.27,39,25,0,0,0,6257,0.4,17,SYN,0,0,0,0.52,Normal
192.168.1.76,10.0.0.250,UDP,1200,5149,1505.36,44,57,0,0,0,6614,0.27,1,PSH,0,0,0,0.73,Normal
192.168.1.94,10.0.0.84,ICMP,1034,16978,19697.41,18,148,0,0,0,6599,0.81,8,FIN,0,0,0,0.16,Normal
192.168.1.105,10.0.0.225,TCP,221,14772,7347.24,9,6,0,0,0,6957,0.92,4,SYN,0,0,0,0.4,Normal
192.168.1.1,10.0.0.208,UDP,874,17347,3293.35,0,18,0,0,0,6729,0.65,10,PSH,0,0,0,0.78,Normal
192.168.1.133,10.0.0.62,ICMP,1324,2907,17284.17,26,177,0,0,0,6043,0.11,6,URG,0,0,0,0.39,Normal
192.168.1.20,10.0.0.93,ICMP,762,7538,14465.17,21,148,0,0,0,1047,0.02,1,ACK,0,0,0,0.6,Normal
192.168.1.8,10.0.0.87,TCP,1330,2040,13255.79,27,103,0,1,0,2807,0.78,12,PSH,0,0,1,0.09,Malware Attack
192.168.1.171,10.0.0.24,UDP,229,15679,5951.32,47,162,0,0,1,9431,0.87,14,FIN,0,1,0,0.83,DDoS Attack
192.168.1.204,10.0.0.98,ICMP,97,16987,8315.02,34,138,0,0,0,919,0.95,22,SYN,0,1,0,0.76,Normal
192.168.1.1,10.0.0.7,ICMP,318,1841,16823.34,2,33,1,0,0,2598,0.72,0,URG,0,0,0,0.39,Unauthorized Access
192.168.1.57,10.0.0.166,UDP,365,14372,12801.55,37,115,0,0,1,7298,0.03,7,PSH,0,0,0,0.98,DDoS Attack
192.168.1.64,10.0.0.37,UDP,283,9878,6919.59,25,183,0,0,0,8293,0.48,11,FIN,0,0,0,0.44,Normal
192.168.1.118,10.0.0.253,ICMP,1119,6609,2194.5,43,147,0,0,0,2286,0.49,6,ACK,0,0,0,0.61,Normal
192.168.1.212,10.0.0.68,ICMP,998,121,18006.41,4,194,0,0,0,3865,0.04,7,PSH,0,0,0,0.51,Normal
192.168.1.28,10.0.0.226,TCP,572,4480,19111.19,47,47,0,0,0,8440,0.91,6,SYN,0,0,0,0.28,Normal
192.168.1.121,10.0.0.170,UDP,1320,13636,14378.71,48,177,0,0,0,3907,0.76,20,URG,0,0,0,0.45,Normal
192.168.1.107,10.0.0.86,ICMP,1016,2183,13830.92,9,195,0,0,1,3714,0.21,12,SYN,0,0,0,0.5,DDoS Attack
192.168.1.165,10.0.0.133,ICMP,278,3088,10758.82,6,30,0,0,0,6629,0.65,8,URG,0,0,0,0.38,Normal
192.168.1.175,10.0.0.192,ICMP,1329,1393,19430.49,29,59,0,0,0,9104,0.81,21,RST,1,0,0,0.3,Normal
192.168.1.229,10.0.0.178,ICMP,308,6731,13886.07,24,31,0,0,0,3030,0.85,20,ACK,0,0,0,0.74,Normal
192.168.1.204,10.0.0.234,TCP,83,3980,1543.92,41,21,0,0,0,4680,0.87,18,RST,0,0,0,0.16,Normal
192.168.1.165,10.0.0.87,UDP,273,16755,1843.67,33,17,0,0,0,1640,0.78,13,FIN,0,0,0,0.72,Normal
192.168.1.49,10.0.0.246,ICMP,489,5088,19271.81,46,181,0,0,0,1205,0.62,5,ACK,0,0,0,0.9,Normal
192.168.1.241,10.0.0.252,UDP,1063,2821,18866.16,20,179,0,0,0,3971,0.09,1,FIN,0,0,0,0.88,Normal
192.168.1.120,10.0.0.15,UDP,1044,19216,11161.14,28,152,1,0,0,6741,0.26,14,FIN,0,0,0,0.4,Unauthorized Access
192.168.1.44,10.0.0.223,ICMP,135,14334,4290.67,16,168,0,0,0,5815,0.53,2,SYN,0,0,0,0.22,Normal
192.168.1.56,10.0.0.123,ICMP,241,14016,11674.28,35,98,0,0,0,8732,0.37,2,FIN,0,0,0,0.86,Normal
